item_code,item_name,category,uom,predicted_rate,source,last_po_price,last_po_date,erp_rate,live_metal_rate
AL-222-00014,"Aluminium Busbar, Electrical Grade: A6101-T6, Size: 25(W) x 3(T)mm",AL-222-,KGS,415.26,costing formula (live metal),,,0,367.9
AL-222-00048,"Aluminium Busbar, Electrical Grade: A6101-T6, Size: 30(W) x 3(T) MM",AL-222-,KGS,415.26,costing formula (live metal),322.0,2025-09-06,0,367.9
AL-222-00049,"Aluminium Busbar, Electrical Grade: A6101-T6, Size: 40(W) x 5(T) MM",AL-222-,KGS,415.0,recent PO (age-weighted),415.0,2026-07-17,0,367.9
AL-222-00087,"Aluminium Busbar, Electrical Grade: A6101-T6, Size: 40(W) x 6(T)mm",AL-222-,KGS,415.26,costing formula (live metal),,,0,367.9
AL-222-00180,"Aluminium Busbar, Electrical Grade: A6101-T6, Size: 50(W) x 10(T)mm",AL-222-,KGS,415.26,costing formula (live metal),,,0,367.9
AL-222-00006,"Aluminium Busbar, Electrical Grade: A6101-T6, Size: 50(W) x 6(T)mm",AL-222-,KGS,415.26,costing formula (live metal),,,0,367.9
AL-222-00047,"Aluminium Busbar, Electrical Grade: A6101-T6, Size: 60(W) x 6(T) MM",AL-222-,KGS,415.26,costing formula (live metal),,,0,367.9
AL-222-00169,"Aluminium Busbar, Electrical Grade: A6101-T6, Size: 80(W) x 6(T)mm",AL-222-,KGS,415.26,costing formula (live metal),,,0,367.9
WB-606-00009,"Aluminium Filler Rod, Ø1.6mm",WB-606-,KGS,432.32,costing formula (live metal),,,0,367.9
WB-606-00014,"Aluminium Filler Rod, Ø2.5mm",WB-606-,KGS,432.32,costing formula (live metal),,,0,367.9
AL-111-00047,"Aluminium Foil, Electrical Grade : 1050, Size: 220(Width) x 2(Thick) mm (Hardness less than 30)",AL-111-,KGS,432.32,costing formula (live metal),,,,367.9
AL-111-00045,"Aluminium Foil, Electrical Grade : 1070A-O, Size : 150(Width) x 1.4 (Thick) (Hardness less than 30)",AL-111-,KGS,432.32,costing formula (live metal),,,,367.9
AL-111-00046,"Aluminium Foil, Electrical Grade : 1070A-O, Size : 350(Width) x 0.8 (Thick) (Hardness less than 30)",AL-111-,KGS,432.32,costing formula (live metal),76960.0,2026-06-17,,367.9
AL-111-00018,"Aluminium Foil, Electrical Grade:1050, Size: 100 (Width) X 1 MM (Thick) (Hardness less than 30)",AL-111-,KGS,432.32,costing formula (live metal),,,0,367.9
AL-111-00010,"Aluminium Foil, Electrical Grade:1050, Size: 1000 (Width) X 0.5 MM (Thick)",AL-111-,KGS,432.32,costing formula (live metal),,,0,367.9
AL-111-00001,"Aluminium Foil, Electrical Grade:1050, Size: 110 (Width) X 0.8MM (Thick)",AL-111-,KGS,432.32,costing formula (live metal),,,0,367.9
AL-111-00003,"Aluminium Foil, Electrical Grade:1050, Size: 200 (Width) X 1 MM (Thick) (Hardness less than 30)",AL-111-,KGS,432.32,costing formula (live metal),,,0,367.9
AL-111-00040,"Aluminium Foil, Electrical Grade:1050, Size: 250(Width) x 1.5(Thick) (Hardness less than 30)",AL-111-,KGS,432.32,costing formula (live metal),,,,367.9
AL-111-00030,"Aluminium Foil, Electrical Grade:1050, Size: 325 (Width) X 0.5 MM (Thick) (Hardness less than 30)",AL-111-,KGS,432.32,costing formula (live metal),,,0,367.9
AL-111-00020,"Aluminium Foil, Electrical Grade:1050, Size: 350 (Width) X 2 MM (Thick) (Hardness less than 30)",AL-111-,KGS,432.32,costing formula (live metal),,,,367.9
AL-111-00042,"Aluminium Foil, Electrical Grade:1050, Size: 350(Width) x 0.5(Thick) (Hardness less than 30)",AL-111-,KGS,432.32,costing formula (live metal),465.0,2026-02-07,,367.9
AL-111-00014,"Aluminium Foil, Electrical Grade:1050, Size: 36 (Width) X 0.5 MM (Thick) (Hardness less than 30)",AL-111-,KGS,432.32,costing formula (live metal),,,0,367.9
AL-111-00016,"Aluminium Foil, Electrical Grade:1050, Size: 45 (Width) X 0.5 MM (Thick) (Hardness less than 30)",AL-111-,KGS,432.32,costing formula (live metal),,,0,367.9
AL-111-00005,"Aluminium Foil, Electrical Grade:1050, Size: 80 (Width) X 1 MM (Thick) (Hardness less than 30)",AL-111-,KGS,432.32,costing formula (live metal),,,0,367.9
AL-111-00044,"Aluminium Foil, Electrical Grade:1070A-O, Size : 200(Width) x 2(Thick) (Hardness less than 30)",AL-111-,KGS,432.32,costing formula (live metal),,,,367.9
